Vendor,Name,Price,Description,Notes,Link,
VXB,V-Slot 20 x 20mm,$38.28,"Vslot, 1500mm","I know $38.28
is alot, so I have permission from acon. https://hackclub.slack.com/archives/C08Q1H6D79B/p1749947689245759?thread_ts=1749512474.276809&cid=C08Q1H6D79B ",,https://vxb.com/products/20mm-linear-rail-5-feet-length-tubing-2020-aluminu?variant=43583118115051
,,,,,,
Biqu,Timing Belt,$4.85,All Biqu products bought together,,https://biqu.equipment/products/hot-sale-10meter-gt2-6mm-open-timing-belt-width-6mm-gt2-belt-for-3d-printer-parts?variant=12951056810082,
Biqu,Idler x2,$5.04,All Biqu products bought together,,https://biqu.equipment/products/3d-printer-parts-16-teeth-synchronous-wheel-pulley-wheel-driven-wheel-perlin-16-2gt-toothed-gear-bore-3mm?variant=13043846873186,
Biqu,Shipping+Tax,$6.58,All Biqu products bought together,,,
,,,,,,
Aliexpress,M5 Screws,$2.26, Aliexpress items bought together,,https://www.aliexpress.us/item/3256805692722422.html?mp=1&pdp_npi=5%40dis%21USD%21USD%202.26%21USD%202.26%21%21USD%202.26%21%21%21%402103209b17539304137857513e2b87%2112000034679037312%21ct%21US%216431667505%21%211%210&gatewayAdapt=glo2usa,
Aliexpress,M5 Tnuts,$1.51,,,https://www.aliexpress.us/item/3256805435856022.html?spm=a2g0o.cart.0.0.355d38daorJgjk&mp=1&pdp_npi=5%40dis%21USD%21USD%201.51%21USD%201.51%21%21USD%201.51%21%21%21%402101c5b217539292053276961e24e0%2112000033779588456%21ct%21US%216431667505%21%211%210&gatewayAdapt=glo2usa,
Aliexpress,Motor,$4.69,Nema 17,,https://www.aliexpress.us/item/2255800222409012.html?mp=1&pdp_npi=5%40dis%21USD%21USD%2015.99%21USD%204.69%21%21USD%204.69%21%21%21%402103010b17539284544731770e5d3b%2110000015290518207%21ct%21US%216431667505%21%211%210&gatewayAdapt=glo2usa,
Aliexpress,TMC2209 ,$2.38,Motor Driver,,https://www.aliexpress.us/item/3256805074646808.html?mp=1&pdp_npi=5%40dis%21USD%21USD%202.38%21USD%202.38%21%21USD%202.38%21%21%21%402103010b17539284423391485e5d3b%2112000032397675983%21ct%21US%216431667505%21%211%210&gatewayAdapt=glo2usa,
Aliexpress,2020 V-slot Wheels Gantry Plate ,$6.28,Gantry Plate + Wheels,,https://www.aliexpress.us/item/3256808485831638.html?pdp_ext_f=%7B%22sku_id%22%3A%2212000046182110471%22%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0&gatewayAdapt=glo2usa4itemAdapt,
aliexpress,Shipping+Tax,$1.57,All Aliexpress items bought together,,,
,,,,,,
Total,,$73.44,,,,